comment_id,text,author,likes_count,published_at,updated_at,reply_count,is_reply,parent_id,video_id,source
UgzJpz1HiihGAfIX7x94AaABAg,"Kita doa kan semoga apa yg di cita2 kan pak Prabowo smua tercapai,pro dan kontra di dlm sbuah pemerintahan pasti ada.",@risaalfianitarisa6166,0,2026-03-24T07:59:26Z,2026-03-24T07:59:26Z,0,False,,S4iey1sr1Cg,youtube
UgwvFFSdYkxS9aRSyhN4AaABAg,terima kasih pak Prabowo 🙏 sehat sehat lanjutkan program MBG saya mendukung bapak,@stormisctt,4,2026-03-22T16:01:57Z,2026-03-22T16:01:57Z,2,False,,S4iey1sr1Cg,youtube
UgwvFFSdYkxS9aRSyhN4AaABAg.AUeq72UISCkAUf0Ya6IrpT,Kwkw TNI polri jadi tukang katering,@iriszero6802,1,2026-03-22T17:41:50Z,2026-03-22T17:41:50Z,0,True,UgwvFFSdYkxS9aRSyhN4AaABAg,S4iey1sr1Cg,youtube
UgwvFFSdYkxS9aRSyhN4AaABAg.AUeq72UISCkAUf4rzM1N_V,Ok buzzer,@luminamentari7269,0,2026-03-22T18:19:34Z,2026-03-22T18:19:34Z,0,True,UgwvFFSdYkxS9aRSyhN4AaABAg,S4iey1sr1Cg,youtube
UgxZeag_PNhqYqIC0U14AaABAg,Terimakasih kpd bpk Presiden Prabowo dgn adanya program MBG bisa membantu gizi anak² sekolah yg sangat membutuhkan..dan bisa membuka lapangan pekerjaan baru,@rochimatussaliyyah4018,0,2026-03-23T03:34:42Z,2026-03-23T03:34:42Z,0,False,,S4iey1sr1Cg,youtube
UgxybbmN18XrQOs3rVt4AaABAg,"Terimakasih bapak Prabowo atas adanya program MBG,anak2 di kampung saya terutama di kampung laut pinggiran NUSAKAMBANGAN,bisa merasakan makan bergizi dan sangat terbantu sekali,terutama juga mengurangi angka pengangguran🙏🙏lanjutkan trus program MBG ini pak",@BerenkDH,0,2026-03-24T07:36:53Z,2026-03-24T07:36:53Z,0,False,,S4iey1sr1Cg,youtube
Ugyt0ZpGzRC41fik-Hx4AaABAg,"alhamdulillah sangat"" bersyukur,dengan adanya program MBG selain mendukung program pemerintah,dampak positif nya banyak,salah satunya anak"" indonesia terpenuhi gizi nya,masyarakat sekitar bisa mendapat pekerjaan,
terutama untuk saya sebagai tulang punggung keluarga,
dengan adanya program MBG 
saya bisa bekerja setiap harinya,trimakasih bpk prabowo.saya harap program ini berjalan lancar berlanjut dengan baik🫶🙏",@tasikmalaya8843,0,2026-03-23T06:50:05Z,2026-03-23T06:50:05Z,0,False,,S4iey1sr1Cg,youtube
UgyRTlDoA7DnNzcVkxh4AaABAg,"dengan adanya mbg membuka lapangan kerja, membantu orang yg tidak mampu, juga bisa menjadi panutan kedepannya buat anak2 bangsa",@GunawanJayadimarta,0,2026-03-23T04:34:29Z,2026-03-23T04:34:29Z,0,False,,S4iey1sr1Cg,youtube
Ugws0M9phfB7krtpUOF4AaABAg,program MBG pelita harapan bagi jutaan orang tua untuk melihat mereka tumbuh kuat dan cerdas dan Sinerji luar biasa yang tidak hanya mengenyangkan...tapi juga mengerekam roda ekonomi kerakyatann Indonesia semangat pak Prabowo maju teruss!💪💪💪💪💪,@FirmanKalijaga,0,2026-03-23T03:24:53Z,2026-03-23T03:24:53Z,0,False,,S4iey1sr1Cg,youtube
UgwXNXxjYB1b5ldA8bp4AaABAg,"Program MBG bapak sangat membantu , anak anak yg awalnya cuma bisa makan lauk tertentu sekarang bisa makan makanan bergizi setiap hari, kadang banyak anak sekolah yg uang saku nya tidak seperti anak lainnya dan tidak bisa makan enak seperti teman""nya, sekarang makan pun bisa setara dengan temannya. Terimakasih pak presiden semoga sehat selalu",@RamaAdi-q1y,0,2026-03-23T06:49:31Z,2026-03-23T06:49:31Z,0,False,,S4iey1sr1Cg,youtube
